invoice_id,vendor_id,vendor_name,po_number,amount,invoice_date,received_date,match_status,payment_status,payment_date,duplicate_flag,is_true_duplicate_pair
INV-500377,V104,Vendor E,PO-62967,28933.67,2026-04-16,2026-04-17,matched,paid,2026-04-25,0,no
INV-500225,V122,Vendor W,PO-34750,9018.42,2026-03-03,2026-03-04,matched,paid,2026-03-06,0,no
INV-500201,V118,Vendor S,PO-37817,8319.78,2026-03-10,2026-03-11,matched,paid,2026-03-13,0,no
INV-500147,V108,Vendor I,PO-71949,19797.08,2026-03-23,2026-03-24,matched,paid,2026-03-28,0,no
INV-500440,V106,Vendor G,PO-51543,23961.06,2026-03-25,2026-03-27,matched,paid,2026-04-03,0,no
INV-500146,V107,Vendor H,PO-94295,19925.22,2026-03-19,2026-03-21,matched,paid,2026-03-27,0,no
INV-500315,V107,Vendor H,PO-76240,22632.47,2026-03-07,2026-03-08,matched,paid,2026-03-13,0,no
INV-500325,V113,Vendor N,PO-62576,13688.45,2026-04-25,2026-04-25,matched,paid,2026-05-01,0,no
INV-500065,V113,Vendor N,PO-76777,22970.58,2026-03-16,2026-03-18,matched,paid,2026-03-24,0,no
INV-500427,V102,Vendor C,PO-26465,8533.04,2026-03-16,2026-03-16,matched,paid,2026-03-22,0,no
INV-500034,V148,Vendor W1,PO-37798,37156.12,2026-03-31,2026-04-01,matched,paid,2026-04-03,0,no
INV-500346,V119,Vendor T,PO-84875,2569.65,2026-04-25,2026-04-25,matched,paid,2026-04-30,0,no
INV-500261,V113,Vendor N,PO-29595,32921.85,2026-04-13,2026-04-14,matched,paid,2026-04-22,0,no
INV-500492,V114,Vendor O,PO-29148,16995.56,2026-03-31,2026-03-31,matched,paid,2026-04-04,0,pair_1_original
INV-500339,V131,Vendor F1,PO-10095,43002.45,2026-03-20,2026-03-21,matched,paid,2026-03-27,0,no
INV-500245,V142,Vendor Q1,PO-19878,27253.4,2026-03-05,2026-03-07,matched,paid,2026-03-12,0,no
INV-500204,V108,Vendor I,PO-12784,25675.24,2026-04-20,2026-04-20,matched,paid,2026-04-23,0,no
INV-500449,V140,Vendor O1,PO-79433,11272.13,2026-03-12,2026-03-14,matched,paid,2026-03-18,0,no
INV-500331,V100,Vendor A,PO-78791,26377.77,2026-03-13,2026-03-13,matched,paid,2026-03-20,0,no
INV-500496,V142,Vendor Q1,PO-79922,17081.69,2026-03-13,2026-03-13,matched,paid,2026-03-17,0,pair_3_original
INV-500410,V119,Vendor T,PO-89044,32602.21,2026-03-01,2026-03-01,matched,paid,2026-03-08,0,no
INV-500004,V109,Vendor J,PO-22323,17630.64,2026-03-19,2026-03-20,matched,paid,2026-03-24,0,no
INV-500407,V131,Vendor F1,PO-62115,448.95,2026-04-23,2026-04-25,matched,paid,2026-04-30,0,no
INV-500488,V116,Vendor Q,PO-69475,28157.42,2026-03-28,2026-03-30,matched,paid,2026-04-01,0,no
INV-500330,V148,Vendor W1,PO-71229,19488.78,2026-03-01,2026-03-03,matched,paid,2026-03-06,0,no
INV-500318,V145,Vendor T1,PO-24971,32289.4,2026-04-15,2026-04-15,matched,paid,2026-04-19,0,no
INV-500223,V116,Vendor Q,PO-59416,1116.67,2026-03-28,2026-03-29,matched,paid,2026-03-31,0,no
INV-500477,V135,Vendor J1,PO-13914,15361.35,2026-04-16,2026-04-18,matched,paid,2026-04-19,0,no
INV-500334,V129,Vendor D1,PO-93304,14587.1,2026-03-09,2026-03-10,matched,paid,2026-03-13,0,no
INV-500314,V156,Vendor E2,PO-41479,41077.49,2026-03-21,2026-03-23,matched,paid,2026-03-25,0,no
INV-500162,V107,Vendor H,PO-50455,38182.7,2026-03-07,2026-03-08,matched,paid,2026-03-15,0,no
INV-500484,V110,Vendor K,PO-38502,16518.58,2026-03-26,2026-03-26,matched,paid,2026-04-04,0,no
INV-500165,V157,Vendor F2,PO-52132,43174.75,2026-03-02,2026-03-02,matched,paid,2026-03-08,0,no
INV-500102,V111,Vendor L,PO-40601,19193.65,2026-04-12,2026-04-13,matched,paid,2026-04-20,0,no
INV-500475,V140,Vendor O1,PO-30055,33818.9,2026-03-02,2026-03-04,matched,paid,2026-03-07,0,no
INV-500242,V100,Vendor A,PO-83377,37849.33,2026-03-22,2026-03-22,matched,paid,2026-03-25,0,no
INV-500005,V141,Vendor P1,PO-76842,28188.91,2026-03-03,2026-03-03,matched,paid,2026-03-06,0,no
INV-500168,V108,Vendor I,PO-93472,37404.6,2026-03-19,2026-03-21,matched,paid,2026-03-27,0,no
INV-500433,V116,Vendor Q,PO-95746,11418.21,2026-04-24,2026-04-25,matched,paid,2026-04-29,0,no
INV-500062,V133,Vendor H1,PO-97430,9423.92,2026-03-14,2026-03-15,matched,paid,2026-03-18,0,no
INV-500360,V110,Vendor K,PO-60473,31403.08,2026-03-11,2026-03-11,matched,paid,2026-03-20,0,no
INV-500304,V152,Vendor A2,PO-35841,11160.6,2026-03-29,2026-03-31,matched,paid,2026-04-07,0,no
INV-500017,V123,Vendor X,PO-62051,42057.9,2026-03-11,2026-03-12,matched,paid,2026-03-17,0,no
INV-500233,V143,Vendor R1,PO-79740,22876.43,2026-03-18,2026-03-19,matched,paid,2026-03-23,0,no
INV-500422,V116,Vendor Q,PO-92963,9894.42,2026-03-27,2026-03-29,matched,paid,2026-04-02,0,no
INV-500085,V103,Vendor D,PO-74387,11557.4,2026-04-09,2026-04-09,matched,paid,2026-04-14,0,no
INV-500480,V137,Vendor L1,PO-61242,34873.01,2026-03-27,2026-03-27,matched,paid,2026-04-01,0,no
INV-500283,V130,Vendor E1,PO-24200,25793.82,2026-04-23,2026-04-24,matched,paid,2026-04-29,0,no
INV-500214,V131,Vendor F1,PO-37696,3450.1,2026-03-05,2026-03-05,matched,paid,2026-03-11,0,no
INV-500179,V148,Vendor W1,PO-65657,13244.13,2026-03-17,2026-03-18,matched,paid,2026-03-20,0,no
INV-500232,V100,Vendor A,PO-47007,14920.06,2026-04-12,2026-04-13,matched,paid,2026-04-17,0,no
INV-500343,V141,Vendor P1,PO-20924,7446.93,2026-03-29,2026-03-30,matched,paid,2026-04-01,0,no
INV-500300,V144,Vendor S1,PO-42382,20352.32,2026-03-25,2026-03-27,matched,paid,2026-03-29,0,no
INV-500164,V108,Vendor I,PO-18559,26345.1,2026-04-12,2026-04-12,matched,paid,2026-04-19,0,no
INV-500349,V119,Vendor T,PO-80884,27069.09,2026-03-15,2026-03-16,matched,paid,2026-03-22,0,no
INV-500453,V148,Vendor W1,PO-91314,11064.74,2026-04-28,2026-04-30,matched,paid,2026-05-02,0,no
INV-500435,V147,Vendor V1,PO-60522,43381.32,2026-03-29,2026-03-30,matched,paid,2026-04-07,0,no
INV-500029,V140,Vendor O1,PO-15092,1670.08,2026-04-17,2026-04-19,matched,paid,2026-04-22,0,no
INV-500107,V156,Vendor E2,PO-34644,28031.87,2026-04-07,2026-04-08,matched,paid,2026-04-15,0,no
INV-500470,V145,Vendor T1,PO-52377,40623.25,2026-04-25,2026-04-26,matched,paid,2026-04-28,0,no
INV-500498,V151,Vendor Z1,PO-59996,16579.09,2026-04-02,2026-04-02,matched,paid,2026-04-06,0,pair_4_original
INV-500286,V123,Vendor X,PO-42168,21855.63,2026-03-12,2026-03-13,matched,paid,2026-03-21,0,no
INV-500159,V106,Vendor G,PO-30572,24282.9,2026-03-15,2026-03-17,matched,paid,2026-03-23,0,no
INV-500292,V142,Vendor Q1,PO-91839,7914.61,2026-03-09,2026-03-09,matched,paid,2026-03-18,0,no
INV-500128,V149,Vendor X1,PO-75502,7960.94,2026-04-10,2026-04-11,matched,paid,2026-04-19,0,no
INV-500117,V104,Vendor E,PO-73466,38797.86,2026-04-15,2026-04-16,matched,paid,2026-04-22,0,no
INV-500189,V156,Vendor E2,PO-62277,11209.71,2026-03-05,2026-03-06,matched,paid,2026-03-10,0,no
INV-500437,V145,Vendor T1,PO-52627,23822.05,2026-04-11,2026-04-12,matched,paid,2026-04-16,0,no
INV-500351,V123,Vendor X,PO-62238,15276.24,2026-03-30,2026-03-30,matched,paid,2026-04-07,0,no
INV-500326,V144,Vendor S1,PO-23945,35381.49,2026-03-26,2026-03-28,matched,paid,2026-04-03,0,no
INV-500451,V136,Vendor K1,PO-41290,38354.87,2026-04-20,2026-04-21,matched,paid,2026-04-29,0,no
INV-500289,V147,Vendor V1,PO-98015,7841.28,2026-04-17,2026-04-17,matched,paid,2026-04-24,0,no
INV-500443,V124,Vendor Y,PO-10516,15068.68,2026-04-04,2026-04-06,matched,paid,2026-04-07,0,no
INV-500135,V155,Vendor D2,PO-34891,23227.67,2026-04-17,2026-04-19,matched,paid,2026-04-20,0,no
INV-500399,V159,Vendor H2,PO-74478,3839.71,2026-03-20,2026-03-20,matched,paid,2026-03-23,0,no
INV-500257,V125,Vendor Z,PO-14805,28213.15,2026-03-05,2026-03-05,matched,paid,2026-03-11,0,no
INV-500493,V114,Vendor O,PO-29148,16995.56,2026-04-09,2026-04-09,matched,paid,2026-04-13,1,pair_1_duplicate
INV-500006,V116,Vendor Q,PO-95380,24484.4,2026-04-09,2026-04-11,matched,paid,2026-04-12,0,no
INV-500429,V158,Vendor G2,PO-43925,5069.25,2026-03-11,2026-03-13,matched,paid,2026-03-17,0,no
INV-500011,V144,Vendor S1,PO-71314,20330.58,2026-03-25,2026-03-25,matched,paid,2026-03-28,0,no
INV-500503,V119,Vendor T,PO-26270,30895.09,2026-03-29,2026-03-29,matched,paid,2026-04-02,1,pair_6_duplicate
INV-500092,V137,Vendor L1,PO-94166,44139.44,2026-03-23,2026-03-24,matched,paid,2026-03-28,0,no
INV-500224,V135,Vendor J1,PO-70454,607.12,2026-04-01,2026-04-03,matched,paid,2026-04-06,0,no
INV-500110,V107,Vendor H,PO-71818,17290.99,2026-03-31,2026-03-31,matched,paid,2026-04-03,0,no
INV-500428,V108,Vendor I,PO-72997,4154.31,2026-04-06,2026-04-08,matched,paid,2026-04-10,0,no
INV-500445,V107,Vendor H,PO-37180,12637.99,2026-03-28,2026-03-30,matched,paid,2026-04-02,0,no
INV-500042,V121,Vendor V,PO-28186,3905.84,2026-03-09,2026-03-11,matched,paid,2026-03-12,0,no
INV-500058,V103,Vendor D,PO-10439,43415.95,2026-03-21,2026-03-23,matched,paid,2026-03-29,0,no
INV-500386,V137,Vendor L1,PO-24542,24580.42,2026-04-15,2026-04-15,matched,paid,2026-04-21,0,no
INV-500078,V118,Vendor S,PO-96467,33572.51,2026-04-28,2026-04-30,matched,paid,2026-05-07,0,no
INV-500426,V119,Vendor T,PO-80070,24526.65,2026-03-08,2026-03-08,matched,paid,2026-03-11,0,no
INV-500160,V151,Vendor Z1,PO-11497,18788.39,2026-03-16,2026-03-18,matched,paid,2026-03-24,0,no
INV-500185,V139,Vendor N1,PO-20128,23798.11,2026-03-06,2026-03-07,matched,paid,2026-03-11,0,no
INV-500101,V132,Vendor G1,PO-13423,535.3,2026-03-24,2026-03-25,matched,paid,2026-03-30,0,no
INV-500268,V145,Vendor T1,PO-55543,12097.47,2026-03-20,2026-03-20,matched,paid,2026-03-27,0,no
INV-500173,V142,Vendor Q1,PO-88764,29556.83,2026-03-06,2026-03-08,matched,paid,2026-03-12,0,no
INV-500430,V112,Vendor M,PO-15576,22884.52,2026-03-02,2026-03-03,matched,paid,2026-03-09,0,no
INV-500312,V141,Vendor P1,PO-17690,17939.15,2026-03-07,2026-03-07,matched,paid,2026-03-14,0,no
INV-500258,V143,Vendor R1,PO-90613,32973.67,2026-03-01,2026-03-01,matched,paid,2026-03-07,0,no
INV-500192,V156,Vendor E2,PO-92242,14725.16,2026-03-20,2026-03-22,matched,paid,2026-03-26,0,no
INV-500340,V109,Vendor J,PO-23854,11585.38,2026-03-26,2026-03-26,matched,paid,2026-04-01,0,no
INV-500018,V130,Vendor E1,PO-42439,22766.0,2026-04-18,2026-04-18,matched,paid,2026-04-23,0,no
INV-500040,V159,Vendor H2,PO-41968,900.88,2026-04-11,2026-04-13,matched,paid,2026-04-18,0,no
INV-500267,V109,Vendor J,PO-99877,10179.38,2026-03-23,2026-03-25,matched,paid,2026-03-29,0,no
INV-500329,V112,Vendor M,PO-21755,13054.0,2026-03-13,2026-03-15,matched,paid,2026-03-18,0,no
INV-500456,V130,Vendor E1,PO-64632,23184.17,2026-03-21,2026-03-23,matched,paid,2026-03-28,0,no
INV-500041,V145,Vendor T1,PO-75161,33883.01,2026-03-01,2026-03-01,matched,paid,2026-03-10,0,no
INV-500362,V130,Vendor E1,PO-24355,30749.89,2026-03-09,2026-03-09,matched,paid,2026-03-12,0,no
INV-500290,V130,Vendor E1,PO-21719,42837.69,2026-03-11,2026-03-11,matched,paid,2026-03-14,0,no
INV-500500,V157,Vendor F2,PO-69335,25146.2,2026-04-10,2026-04-10,matched,paid,2026-04-14,0,pair_5_original
INV-500294,V141,Vendor P1,PO-75679,387.65,2026-03-13,2026-03-13,matched,paid,2026-03-18,0,no
INV-500504,V138,Vendor M1,PO-25011,22077.83,2026-04-08,2026-04-08,matched,paid,2026-04-12,0,pair_7_original
INV-500172,V129,Vendor D1,PO-32702,33603.78,2026-04-27,2026-04-27,matched,paid,2026-05-05,0,no
INV-500080,V141,Vendor P1,PO-43343,31789.71,2026-04-05,2026-04-05,matched,paid,2026-04-13,0,no
INV-500046,V106,Vendor G,PO-23731,3064.3,2026-04-01,2026-04-02,matched,paid,2026-04-07,0,no
INV-500310,V123,Vendor X,PO-42712,13938.73,2026-04-10,2026-04-10,matched,paid,2026-04-14,0,no
INV-500093,V137,Vendor L1,PO-84310,42980.07,2026-03-25,2026-03-27,matched,paid,2026-03-29,0,no
INV-500476,V159,Vendor H2,PO-26875,23875.38,2026-04-27,2026-04-27,matched,paid,2026-05-02,0,no
INV-500081,V157,Vendor F2,PO-31275,12769.47,2026-03-31,2026-03-31,matched,paid,2026-04-07,0,no
INV-500305,V124,Vendor Y,PO-12482,29723.49,2026-03-11,2026-03-12,matched,paid,2026-03-14,0,no
INV-500142,V130,Vendor E1,PO-56617,7599.3,2026-04-19,2026-04-21,matched,paid,2026-04-27,0,no
INV-500458,V123,Vendor X,PO-38949,38241.99,2026-03-22,2026-03-22,matched,paid,2026-03-25,0,no
INV-500180,V144,Vendor S1,PO-26663,16279.96,2026-03-27,2026-03-28,matched,paid,2026-04-05,0,no
INV-500424,V114,Vendor O,PO-54630,40734.95,2026-03-17,2026-03-18,matched,paid,2026-03-22,0,no
INV-500355,V108,Vendor I,PO-55632,37140.75,2026-04-26,2026-04-28,matched,paid,2026-05-02,0,no
INV-500139,V124,Vendor Y,PO-45552,38710.44,2026-03-15,2026-03-16,matched,paid,2026-03-19,0,no
INV-500106,V104,Vendor E,PO-46853,30103.55,2026-04-20,2026-04-21,matched,paid,2026-04-29,0,no
INV-500238,V146,Vendor U1,PO-50833,41223.65,2026-03-16,2026-03-18,matched,paid,2026-03-25,0,no
INV-500291,V152,Vendor A2,PO-99126,12734.78,2026-03-18,2026-03-20,matched,paid,2026-03-26,0,no
INV-500246,V154,Vendor C2,PO-52846,9161.87,2026-04-19,2026-04-20,matched,paid,2026-04-26,0,no
INV-500401,V136,Vendor K1,PO-46773,14839.15,2026-04-17,2026-04-17,matched,paid,2026-04-26,0,no
INV-500320,V153,Vendor B2,PO-12694,3186.16,2026-03-08,2026-03-09,matched,paid,2026-03-17,0,no
INV-500095,V100,Vendor A,PO-94725,24401.19,2026-04-29,2026-04-29,matched,paid,2026-05-06,0,no
INV-500122,V133,Vendor H1,PO-67939,11215.02,2026-03-12,2026-03-13,matched,paid,2026-03-19,0,no
INV-500260,V128,Vendor C1,PO-57905,29999.18,2026-03-13,2026-03-15,matched,paid,2026-03-21,0,no
INV-500023,V142,Vendor Q1,PO-50229,44789.03,2026-04-25,2026-04-25,matched,paid,2026-05-02,0,no
INV-500013,V143,Vendor R1,PO-44493,35174.61,2026-03-06,2026-03-08,matched,paid,2026-03-09,0,no
INV-500061,V103,Vendor D,PO-25396,26824.28,2026-04-22,2026-04-22,matched,paid,2026-04-30,0,no
INV-500307,V136,Vendor K1,PO-11976,7432.9,2026-04-21,2026-04-23,matched,paid,2026-04-29,0,no
INV-500039,V112,Vendor M,PO-24527,26150.72,2026-03-30,2026-04-01,matched,paid,2026-04-05,0,no
INV-500366,V103,Vendor D,PO-27098,4620.64,2026-04-02,2026-04-04,matched,paid,2026-04-09,0,no
INV-500272,V138,Vendor M1,PO-72063,22711.72,2026-04-09,2026-04-11,matched,paid,2026-04-17,0,no
INV-500208,V120,Vendor U,PO-62527,21218.86,2026-04-25,2026-04-27,matched,paid,2026-05-01,0,no
INV-500236,V108,Vendor I,PO-79981,8615.64,2026-03-14,2026-03-15,matched,paid,2026-03-20,0,no
INV-500098,V124,Vendor Y,PO-59338,23384.81,2026-04-28,2026-04-29,matched,paid,2026-05-03,0,no
INV-500365,V149,Vendor X1,PO-68021,13583.09,2026-04-21,2026-04-23,matched,paid,2026-04-29,0,no
INV-500249,V134,Vendor I1,PO-66579,17533.26,2026-03-16,2026-03-18,matched,paid,2026-03-22,0,no
INV-500487,V110,Vendor K,PO-93820,16714.01,2026-04-12,2026-04-14,matched,paid,2026-04-20,0,no
INV-500382,V140,Vendor O1,PO-94215,26803.42,2026-03-24,2026-03-25,matched,paid,2026-03-30,0,no
INV-500295,V145,Vendor T1,PO-71705,23162.61,2026-03-22,2026-03-22,matched,paid,2026-03-27,0,no
INV-500408,V118,Vendor S,PO-57306,13842.7,2026-03-25,2026-03-26,matched,paid,2026-04-01,0,no
INV-500379,V113,Vendor N,PO-67262,35575.87,2026-03-26,2026-03-27,matched,paid,2026-04-03,0,no
INV-500127,V149,Vendor X1,PO-52420,29461.12,2026-03-22,2026-03-22,matched,paid,2026-03-29,0,no
INV-500082,V102,Vendor C,PO-79398,21037.48,2026-03-02,2026-03-04,matched,paid,2026-03-07,0,no
INV-500465,V138,Vendor M1,PO-54437,6743.59,2026-04-03,2026-04-05,matched,paid,2026-04-09,0,no
INV-500207,V134,Vendor I1,PO-23879,1237.38,2026-03-26,2026-03-26,matched,paid,2026-04-04,0,no
INV-500027,V105,Vendor F,PO-16315,12793.93,2026-03-26,2026-03-26,matched,paid,2026-04-04,0,no
INV-500089,V114,Vendor O,PO-64838,40123.85,2026-04-15,2026-04-15,matched,paid,2026-04-21,0,no
INV-500394,V122,Vendor W,PO-14331,9151.61,2026-04-14,2026-04-15,matched,paid,2026-04-20,0,no
INV-500073,V135,Vendor J1,PO-35927,12746.37,2026-03-13,2026-03-14,matched,paid,2026-03-19,0,no
INV-500187,V110,Vendor K,PO-69506,24139.96,2026-04-14,2026-04-15,matched,paid,2026-04-23,0,no
INV-500171,V158,Vendor G2,PO-85406,17643.56,2026-03-18,2026-03-18,matched,paid,2026-03-24,0,no
INV-500161,V119,Vendor T,PO-34601,3494.08,2026-03-02,2026-03-02,matched,paid,2026-03-07,0,no
INV-500069,V118,Vendor S,PO-86859,43542.58,2026-04-11,2026-04-12,matched,paid,2026-04-14,0,no
INV-500221,V155,Vendor D2,PO-45314,27712.68,2026-04-21,2026-04-22,matched,paid,2026-04-27,0,no
INV-500091,V157,Vendor F2,PO-19685,33966.98,2026-03-21,2026-03-22,matched,paid,2026-03-25,0,no
INV-500412,V120,Vendor U,PO-22805,18100.84,2026-03-29,2026-03-31,matched,paid,2026-04-07,0,no
INV-500197,V155,Vendor D2,PO-80934,7829.56,2026-04-25,2026-04-26,matched,paid,2026-05-04,0,no
INV-500397,V118,Vendor S,PO-76926,8395.93,2026-04-16,2026-04-18,matched,paid,2026-04-20,0,no
INV-500125,V117,Vendor R,PO-26370,14993.1,2026-03-23,2026-03-25,matched,paid,2026-03-30,0,no
INV-500247,V125,Vendor Z,PO-67291,22256.04,2026-04-10,2026-04-12,matched,paid,2026-04-13,0,no
INV-500273,V141,Vendor P1,PO-25336,20069.14,2026-04-08,2026-04-09,matched,paid,2026-04-17,0,no
INV-500059,V155,Vendor D2,PO-82395,4599.73,2026-03-05,2026-03-07,matched,paid,2026-03-09,0,no
INV-500120,V149,Vendor X1,PO-49252,41000.91,2026-04-15,2026-04-16,matched,paid,2026-04-23,0,no
INV-500012,V120,Vendor U,PO-83813,21430.66,2026-04-28,2026-04-30,matched,paid,2026-05-01,0,no
INV-500392,V146,Vendor U1,PO-41248,34045.77,2026-03-26,2026-03-28,matched,paid,2026-03-31,0,no
INV-500270,V119,Vendor T,PO-75830,1041.92,2026-04-16,2026-04-16,matched,paid,2026-04-19,0,no
INV-500376,V118,Vendor S,PO-53224,26995.91,2026-03-25,2026-03-27,matched,paid,2026-03-31,0,no
INV-500507,V101,Vendor B,PO-18514,30500.5,2026-04-01,2026-04-01,matched,paid,2026-04-05,1,pair_8_duplicate
INV-500461,V106,Vendor G,PO-60404,18668.85,2026-04-27,2026-04-28,matched,paid,2026-04-30,0,no
INV-500157,V151,Vendor Z1,PO-74426,31921.51,2026-03-24,2026-03-25,matched,paid,2026-03-30,0,no
INV-500341,V121,Vendor V,PO-43279,41617.67,2026-03-31,2026-03-31,matched,paid,2026-04-06,0,no
INV-500186,V130,Vendor E1,PO-90185,40874.22,2026-04-17,2026-04-17,matched,paid,2026-04-23,0,no
INV-500373,V154,Vendor C2,PO-18453,7592.9,2026-03-11,2026-03-13,matched,paid,2026-03-16,0,no
INV-500469,V121,Vendor V,PO-33574,35718.11,2026-04-18,2026-04-19,matched,paid,2026-04-25,0,no
INV-500481,V120,Vendor U,PO-80597,7892.98,2026-03-06,2026-03-07,matched,paid,2026-03-13,0,no
INV-500213,V113,Vendor N,PO-40874,24634.85,2026-04-21,2026-04-22,matched,paid,2026-04-24,0,no
INV-500454,V107,Vendor H,PO-96753,5902.15,2026-03-02,2026-03-03,matched,paid,2026-03-05,0,no
INV-500347,V121,Vendor V,PO-41517,26472.79,2026-04-04,2026-04-06,matched,paid,2026-04-12,0,no
INV-500463,V118,Vendor S,PO-59838,10671.71,2026-03-07,2026-03-09,matched,paid,2026-03-14,0,no
INV-500088,V109,Vendor J,PO-66619,41454.49,2026-04-04,2026-04-06,matched,paid,2026-04-09,0,no
INV-500323,V126,Vendor A1,PO-84667,6490.35,2026-04-07,2026-04-08,matched,paid,2026-04-12,0,no
INV-500131,V104,Vendor E,PO-30616,14974.79,2026-03-17,2026-03-19,matched,paid,2026-03-23,0,no
INV-500124,V142,Vendor Q1,PO-99579,17877.62,2026-03-23,2026-03-24,matched,paid,2026-03-29,0,no
INV-500174,V157,Vendor F2,PO-50929,42445.2,2026-03-12,2026-03-12,matched,paid,2026-03-16,0,no
INV-500499,V151,Vendor Z1,PO-59996,16579.09,2026-04-10,2026-04-10,matched,paid,2026-04-14,1,pair_4_duplicate
INV-500191,V111,Vendor L,PO-18948,4271.31,2026-03-05,2026-03-05,matched,paid,2026-03-08,0,no
INV-500014,V103,Vendor D,PO-42878,15042.0,2026-03-28,2026-03-29,matched,paid,2026-04-01,0,no
INV-500403,V105,Vendor F,PO-55750,23618.19,2026-03-15,2026-03-16,matched,paid,2026-03-18,0,no
INV-500250,V106,Vendor G,PO-23122,35714.44,2026-03-25,2026-03-25,matched,paid,2026-03-30,0,no
INV-500123,V115,Vendor P,PO-60780,5816.94,2026-04-06,2026-04-07,matched,paid,2026-04-13,0,no
INV-500138,V128,Vendor C1,PO-46282,18319.17,2026-03-13,2026-03-15,matched,paid,2026-03-16,0,no
INV-500111,V121,Vendor V,PO-93398,30533.83,2026-03-07,2026-03-08,matched,paid,2026-03-14,0,no
INV-500051,V151,Vendor Z1,PO-43046,35392.97,2026-04-10,2026-04-12,matched,paid,2026-04-17,0,no
INV-500358,V112,Vendor M,PO-70755,36448.88,2026-04-07,2026-04-09,matched,paid,2026-04-12,0,no
INV-500112,V106,Vendor G,PO-61891,27703.49,2026-04-27,2026-04-28,matched,paid,2026-05-02,0,no
INV-500009,V156,Vendor E2,PO-87327,28634.8,2026-03-06,2026-03-08,matched,paid,2026-03-12,0,no
INV-500019,V107,Vendor H,PO-52010,32386.31,2026-04-21,2026-04-23,matched,paid,2026-04-25,0,no
INV-500016,V152,Vendor A2,PO-17738,15732.57,2026-04-05,2026-04-05,matched,paid,2026-04-08,0,no
INV-500277,V115,Vendor P,PO-83399,42685.05,2026-04-14,2026-04-14,matched,paid,2026-04-19,0,no
INV-500000,V102,Vendor C,PO-33717,28937.33,2026-04-11,2026-04-11,matched,paid,2026-04-18,0,no
INV-500423,V142,Vendor Q1,PO-19963,17130.02,2026-04-24,2026-04-24,matched,paid,2026-04-29,0,no
INV-500105,V129,Vendor D1,PO-67039,35599.41,2026-04-11,2026-04-13,matched,paid,2026-04-20,0,no
INV-500342,V154,Vendor C2,PO-35417,3002.42,2026-04-15,2026-04-16,matched,paid,2026-04-20,0,no
INV-500406,V153,Vendor B2,PO-73512,7993.92,2026-04-02,2026-04-02,matched,paid,2026-04-10,0,no
INV-500490,V120,Vendor U,PO-60733,22450.76,2026-04-26,2026-04-26,matched,paid,2026-05-05,0,no
INV-500378,V101,Vendor B,PO-62306,33589.17,2026-04-14,2026-04-15,matched,paid,2026-04-19,0,no
INV-500230,V158,Vendor G2,PO-15141,33733.84,2026-03-23,2026-03-24,matched,paid,2026-03-29,0,no
INV-500457,V119,Vendor T,PO-46348,23473.08,2026-03-19,2026-03-20,matched,paid,2026-03-25,0,no
INV-500070,V117,Vendor R,PO-34942,42797.79,2026-04-04,2026-04-06,matched,paid,2026-04-07,0,no
INV-500324,V114,Vendor O,PO-68491,16207.69,2026-04-03,2026-04-03,matched,paid,2026-04-07,0,no
INV-500256,V112,Vendor M,PO-64034,486.19,2026-04-04,2026-04-05,matched,paid,2026-04-08,0,no
INV-500284,V125,Vendor Z,PO-75440,6251.78,2026-03-15,2026-03-17,matched,paid,2026-03-20,0,no
