return_id,customer_id,item_category,return_amount,return_date,auto_approved,review_flag
RET-900691,CUST-12808,apparel,149.02,2026-05-06,1,0
RET-901664,CUST-13585,footwear,28.72,2026-05-01,1,0
RET-900027,CUST-11886,apparel,40.56,2026-04-19,1,0
RET-901382,CUST-13845,apparel,85.77,2026-04-23,1,0
RET-900171,CUST-12425,apparel,128.71,2026-05-01,1,0
RET-900587,CUST-13865,accessories,55.58,2026-05-10,1,0
RET-900265,CUST-13928,accessories,99.2,2026-04-07,1,0
RET-902522,CUST-10774,apparel,79.34,2026-04-05,1,0
RET-900504,CUST-11457,apparel,8.23,2026-04-24,1,0
RET-901857,CUST-12764,apparel,38.02,2026-05-02,1,0
RET-900695,CUST-12254,footwear,16.29,2026-05-03,1,0
RET-900341,CUST-10285,apparel,128.86,2026-05-09,1,0
RET-901537,CUST-10966,apparel,108.79,2026-04-17,1,0
RET-901797,CUST-10265,footwear,46.7,2026-04-15,1,0
RET-901825,CUST-11410,footwear,25.36,2026-05-02,1,0
RET-900263,CUST-10995,accessories,96.43,2026-04-29,1,0
RET-901411,CUST-11518,accessories,74.73,2026-05-09,1,0
RET-901560,CUST-12377,apparel,66.84,2026-05-11,1,0
RET-902486,CUST-12466,footwear,2.14,2026-04-13,1,0
RET-901767,CUST-12155,apparel,62.33,2026-04-10,1,0
RET-900530,CUST-13486,accessories,117.27,2026-04-25,1,0
RET-900836,CUST-10459,accessories,47.28,2026-04-13,1,0
RET-902310,CUST-10135,footwear,101.14,2026-05-04,1,0
RET-901567,CUST-12903,footwear,41.4,2026-04-10,1,0
RET-900157,CUST-13200,apparel,136.79,2026-04-27,1,0
RET-902718,CUST-11879,apparel,557.39,2026-05-06,1,0
RET-901305,CUST-11957,accessories,115.07,2026-04-01,1,0
RET-902399,CUST-10192,footwear,238.06,2026-04-14,1,0
RET-901107,CUST-11030,footwear,62.18,2026-05-03,1,0
RET-901246,CUST-10142,apparel,103.74,2026-04-05,1,0
RET-900137,CUST-12039,apparel,106.77,2026-04-20,1,0
RET-902639,CUST-11959,apparel,366.4,2026-05-07,1,0
RET-901551,CUST-10232,apparel,113.85,2026-04-21,1,0
RET-902084,CUST-12972,apparel,74.02,2026-04-20,1,0
RET-901746,CUST-13002,apparel,121.82,2026-04-10,1,0
RET-900098,CUST-11227,accessories,86.15,2026-05-09,1,0
RET-900477,CUST-13473,accessories,43.44,2026-04-04,1,0
RET-902212,CUST-10675,apparel,124.94,2026-05-06,1,0
RET-900994,CUST-10613,apparel,156.24,2026-05-03,1,0
RET-902159,CUST-12604,accessories,88.97,2026-04-06,1,0
RET-901755,CUST-10325,apparel,24.26,2026-04-29,1,0
RET-900904,CUST-13909,footwear,6.19,2026-04-01,1,0
RET-901235,CUST-12961,footwear,187.37,2026-04-23,1,0
RET-902474,CUST-11601,apparel,152.87,2026-04-03,1,0
RET-901568,CUST-13946,footwear,57.45,2026-05-03,1,0
RET-902725,CUST-10268,apparel,423.98,2026-04-09,1,0
RET-902003,CUST-11756,apparel,220.6,2026-05-10,1,0
RET-900204,CUST-13841,apparel,11.2,2026-04-03,1,0
RET-902125,CUST-12840,accessories,157.71,2026-04-30,1,0
RET-902250,CUST-10398,footwear,51.25,2026-04-14,1,0
RET-900468,CUST-13043,footwear,51.13,2026-04-11,1,0
RET-901317,CUST-11181,accessories,59.47,2026-05-11,1,0
RET-902664,CUST-12275,footwear,284.95,2026-04-02,1,0
RET-901559,CUST-13647,footwear,43.21,2026-05-06,1,0
RET-900290,CUST-11154,accessories,95.99,2026-04-30,1,0
RET-901405,CUST-10435,accessories,23.32,2026-04-24,1,0
RET-900848,CUST-10953,footwear,12.39,2026-04-04,1,0
RET-900621,CUST-11200,accessories,84.93,2026-04-05,1,0
RET-900934,CUST-10045,footwear,33.38,2026-04-14,1,0
RET-900072,CUST-10825,footwear,113.15,2026-04-23,1,0
RET-902627,CUST-12775,footwear,562.88,2026-04-04,1,0
RET-902603,CUST-13587,footwear,340.35,2026-04-04,1,0
RET-900111,CUST-13527,footwear,71.76,2026-04-08,1,0
RET-901639,CUST-12539,apparel,24.76,2026-05-08,1,0
RET-901314,CUST-10962,apparel,198.53,2026-04-23,1,0
RET-901211,CUST-12499,accessories,59.22,2026-04-30,1,0
RET-900652,CUST-13001,accessories,45.25,2026-04-08,1,0
RET-900917,CUST-12134,apparel,11.73,2026-04-13,1,0
RET-900929,CUST-12284,apparel,93.33,2026-04-06,1,0
RET-900336,CUST-12245,accessories,52.59,2026-05-05,1,0
RET-901678,CUST-13969,footwear,58.7,2026-04-17,1,0
RET-901591,CUST-11079,accessories,80.88,2026-04-16,1,0
RET-900018,CUST-10886,accessories,93.22,2026-04-22,1,0
RET-901702,CUST-13044,accessories,33.91,2026-05-03,1,0
RET-900278,CUST-12421,apparel,64.34,2026-04-12,1,0
RET-900218,CUST-13604,accessories,84.42,2026-04-19,1,0
RET-902196,CUST-11377,apparel,16.14,2026-04-09,1,0
RET-901500,CUST-11972,apparel,20.06,2026-04-10,1,0
RET-900586,CUST-12517,footwear,128.53,2026-05-07,1,0
RET-901395,CUST-12404,footwear,39.81,2026-04-01,1,0
RET-902697,CUST-10839,apparel,363.2,2026-04-06,1,0
RET-902219,CUST-11145,apparel,28.85,2026-05-03,1,0
RET-900658,CUST-13765,accessories,116.71,2026-04-25,1,0
RET-902218,CUST-10375,footwear,38.06,2026-04-24,1,0
RET-901492,CUST-13378,apparel,26.75,2026-05-06,1,0
RET-900472,CUST-10388,footwear,104.69,2026-04-11,1,0
RET-901940,CUST-10923,apparel,106.88,2026-04-16,1,0
RET-900102,CUST-11175,footwear,41.99,2026-04-24,1,0
RET-902322,CUST-10032,apparel,95.41,2026-05-06,1,0
RET-901744,CUST-13938,apparel,41.41,2026-04-02,1,0
RET-902606,CUST-12674,footwear,401.65,2026-05-05,1,0
RET-902346,CUST-12917,accessories,16.61,2026-04-18,1,0
RET-901762,CUST-10613,footwear,159.57,2026-04-07,1,0
RET-901955,CUST-12946,accessories,46.06,2026-04-26,1,0
RET-901006,CUST-10465,accessories,44.87,2026-04-21,1,0
RET-902370,CUST-10320,accessories,6.74,2026-04-30,1,0
RET-902532,CUST-12248,accessories,89.13,2026-04-10,1,0
RET-900955,CUST-11146,apparel,158.33,2026-04-01,1,0
RET-901747,CUST-12861,apparel,63.15,2026-05-08,1,0
RET-901124,CUST-11150,accessories,34.32,2026-05-07,1,0
RET-901422,CUST-13780,accessories,73.52,2026-05-03,1,0
RET-901141,CUST-10094,apparel,98.2,2026-04-12,1,0
RET-900969,CUST-13400,accessories,14.75,2026-04-09,1,0
RET-901650,CUST-12247,footwear,98.25,2026-05-03,1,0
RET-900095,CUST-11956,apparel,44.11,2026-04-18,1,0
RET-901292,CUST-13807,footwear,49.25,2026-04-18,1,0
RET-902509,CUST-10650,apparel,46.0,2026-04-14,1,0
RET-900734,CUST-13875,footwear,92.0,2026-04-16,1,0
RET-902059,CUST-10366,apparel,100.13,2026-04-01,1,0
RET-900795,CUST-13907,apparel,103.89,2026-04-18,1,0
RET-902175,CUST-10789,accessories,94.23,2026-04-18,1,0
RET-902261,CUST-10873,accessories,158.14,2026-04-16,1,0
RET-901694,CUST-11747,apparel,52.26,2026-04-19,1,0
RET-901389,CUST-10041,apparel,119.84,2026-05-07,1,0
RET-901437,CUST-12191,accessories,50.72,2026-05-12,1,0
RET-901928,CUST-11644,accessories,108.26,2026-04-16,1,0
RET-901069,CUST-11664,footwear,83.88,2026-05-06,1,0
RET-900068,CUST-13778,accessories,140.06,2026-05-12,1,0
RET-902311,CUST-10133,accessories,103.98,2026-04-15,1,0
RET-902249,CUST-11268,footwear,29.65,2026-05-10,1,0
RET-902149,CUST-13503,footwear,93.26,2026-04-22,1,0
RET-902134,CUST-13545,apparel,22.08,2026-04-06,1,0
RET-901606,CUST-13779,footwear,68.76,2026-04-22,1,0
RET-900956,CUST-10891,apparel,27.59,2026-05-03,1,0
RET-902507,CUST-13253,apparel,86.16,2026-05-03,1,0
RET-901394,CUST-11250,accessories,9.16,2026-05-06,1,0
RET-900129,CUST-13090,footwear,239.27,2026-05-01,1,0
RET-900230,CUST-10034,accessories,65.58,2026-05-11,1,0
RET-902277,CUST-11693,apparel,33.08,2026-05-01,1,0
RET-901661,CUST-12657,apparel,36.33,2026-04-26,1,0
RET-900681,CUST-12307,footwear,107.05,2026-04-02,1,0
RET-901620,CUST-10404,accessories,91.46,2026-04-14,1,0
RET-901868,CUST-13221,apparel,21.59,2026-05-08,1,0
RET-901181,CUST-12829,apparel,70.62,2026-04-21,1,0
RET-900240,CUST-13035,footwear,29.28,2026-04-24,1,0
RET-901935,CUST-10359,accessories,169.28,2026-04-17,1,0
RET-900363,CUST-11898,footwear,75.48,2026-04-07,1,0
RET-902450,CUST-12580,apparel,110.77,2026-04-04,1,0
RET-900456,CUST-10607,apparel,31.11,2026-04-25,1,0
RET-902327,CUST-11476,footwear,40.92,2026-04-24,1,0
RET-901131,CUST-11404,footwear,17.94,2026-04-08,1,0
RET-902329,CUST-11926,footwear,65.31,2026-04-13,1,0
RET-900599,CUST-10140,apparel,126.42,2026-05-06,1,0
RET-900140,CUST-12869,apparel,83.4,2026-05-02,1,0
RET-901913,CUST-12135,apparel,111.41,2026-04-28,1,0
RET-901595,CUST-10523,apparel,41.5,2026-04-04,1,0
RET-900054,CUST-11928,footwear,91.62,2026-04-25,1,0
RET-901571,CUST-13741,accessories,82.49,2026-04-10,1,0
RET-901379,CUST-10667,accessories,42.94,2026-04-04,1,0
RET-900267,CUST-10580,footwear,43.92,2026-04-09,1,0
RET-901393,CUST-12747,accessories,102.79,2026-05-09,1,0
RET-902453,CUST-10957,accessories,43.02,2026-04-27,1,0
RET-902404,CUST-10738,footwear,27.15,2026-05-02,1,0
RET-902477,CUST-12678,accessories,90.72,2026-04-12,1,0
RET-900897,CUST-10871,apparel,68.94,2026-04-26,1,0
RET-900431,CUST-12133,accessories,68.01,2026-04-16,1,0
RET-900488,CUST-10739,accessories,100.11,2026-04-21,1,0
RET-901354,CUST-11841,footwear,22.46,2026-04-02,1,0
RET-900209,CUST-11637,apparel,7.81,2026-05-12,1,0
RET-902139,CUST-10633,apparel,196.93,2026-04-09,1,0
RET-902026,CUST-12746,footwear,60.58,2026-05-06,1,0
RET-901092,CUST-12956,accessories,15.27,2026-04-10,1,0
RET-901220,CUST-11245,accessories,38.41,2026-04-09,1,0
RET-902461,CUST-13116,accessories,82.84,2026-05-11,1,0
RET-901916,CUST-11282,footwear,47.28,2026-05-02,1,0
RET-902161,CUST-11342,accessories,78.11,2026-04-07,1,0
RET-902501,CUST-11478,footwear,83.7,2026-05-02,1,0
RET-902618,CUST-10204,accessories,531.46,2026-04-24,1,0
RET-901804,CUST-11106,footwear,68.13,2026-04-14,1,0
RET-902372,CUST-13303,accessories,88.31,2026-04-07,1,0
RET-901523,CUST-10503,apparel,9.26,2026-04-23,1,0
RET-900014,CUST-12664,apparel,49.42,2026-04-27,1,0
RET-902586,CUST-10647,accessories,153.6,2026-04-11,1,0
RET-900515,CUST-12738,accessories,41.23,2026-04-20,1,0
RET-901279,CUST-13957,accessories,83.53,2026-04-20,1,0
RET-901313,CUST-11126,footwear,47.37,2026-04-26,1,0
RET-900385,CUST-12106,footwear,47.29,2026-04-07,1,0
RET-902511,CUST-13258,accessories,59.38,2026-04-30,1,0
RET-902454,CUST-10921,footwear,37.23,2026-04-23,1,0
RET-900643,CUST-13879,apparel,9.88,2026-04-10,1,0
RET-900831,CUST-10243,apparel,104.07,2026-05-08,1,0
RET-901277,CUST-10968,accessories,150.01,2026-05-04,1,0
RET-900084,CUST-11182,footwear,161.93,2026-04-30,1,0
RET-900842,CUST-12374,apparel,60.92,2026-04-20,1,0
RET-901743,CUST-13491,accessories,11.26,2026-04-11,1,0
RET-900069,CUST-10885,apparel,33.32,2026-04-19,1,0
RET-902721,CUST-10703,apparel,568.96,2026-04-13,1,0
RET-901415,CUST-10330,accessories,104.47,2026-04-24,1,0
RET-901962,CUST-13769,accessories,80.57,2026-04-23,1,0
RET-900355,CUST-10769,apparel,126.2,2026-05-07,1,0
RET-900119,CUST-11379,footwear,117.58,2026-04-14,1,0
RET-901919,CUST-12427,apparel,104.52,2026-04-21,1,0
RET-902147,CUST-11116,accessories,90.15,2026-05-12,1,0
RET-902684,CUST-11697,apparel,502.09,2026-04-05,1,0
RET-900541,CUST-13832,footwear,3.07,2026-04-06,1,0
RET-900294,CUST-12834,accessories,76.32,2026-04-05,1,0
RET-902240,CUST-12731,accessories,36.08,2026-04-22,1,0
RET-900891,CUST-12323,footwear,26.29,2026-05-12,1,0
RET-902012,CUST-10091,apparel,66.21,2026-04-21,1,0
RET-901794,CUST-11848,accessories,93.79,2026-04-19,1,0
RET-901993,CUST-10932,accessories,126.06,2026-04-20,1,0
RET-901324,CUST-11032,footwear,55.18,2026-04-10,1,0
RET-901711,CUST-13278,apparel,35.91,2026-05-10,1,0
RET-900310,CUST-11222,apparel,98.51,2026-04-10,1,0
RET-902165,CUST-12660,footwear,68.21,2026-05-10,1,0
RET-901697,CUST-13079,footwear,86.87,2026-05-02,1,0
RET-901423,CUST-13566,accessories,76.14,2026-05-01,1,0
RET-900004,CUST-10166,accessories,80.35,2026-05-02,1,0
RET-900964,CUST-12690,footwear,29.49,2026-04-28,1,0
RET-902475,CUST-12544,accessories,46.32,2026-04-28,1,0
RET-901742,CUST-11110,footwear,88.7,2026-04-24,1,0
RET-901467,CUST-12771,apparel,55.09,2026-04-08,1,0
RET-900037,CUST-12704,apparel,84.78,2026-04-28,1,0
RET-901529,CUST-11993,apparel,87.27,2026-04-26,1,0
RET-901701,CUST-11907,apparel,98.39,2026-05-06,1,0
RET-900494,CUST-13325,footwear,273.46,2026-05-10,1,0
RET-901827,CUST-13442,footwear,18.31,2026-04-25,1,0
RET-901772,CUST-13233,accessories,47.92,2026-04-23,1,0
RET-902253,CUST-10403,footwear,57.61,2026-04-30,1,0
RET-900259,CUST-10525,accessories,39.74,2026-04-27,1,0
RET-900981,CUST-12219,accessories,8.86,2026-04-19,1,0
RET-901648,CUST-12345,footwear,62.69,2026-04-07,1,0
RET-901668,CUST-12717,footwear,39.59,2026-04-09,1,0
RET-900580,CUST-11767,apparel,49.19,2026-05-02,1,0
RET-900769,CUST-11924,accessories,13.85,2026-04-15,1,0
RET-902252,CUST-11230,apparel,83.03,2026-04-16,1,0
RET-900503,CUST-11534,accessories,24.43,2026-05-01,1,0
RET-901248,CUST-12877,accessories,109.99,2026-04-21,1,0
RET-901722,CUST-11354,apparel,32.65,2026-05-05,1,0
RET-902185,CUST-12870,accessories,171.61,2026-05-05,1,0
RET-900799,CUST-10578,footwear,89.91,2026-04-21,1,0
RET-902491,CUST-10887,apparel,10.57,2026-04-12,1,0
RET-901936,CUST-13828,accessories,108.29,2026-04-21,1,0
RET-900520,CUST-10369,footwear,110.6,2026-05-03,1,0
RET-900368,CUST-11227,apparel,48.52,2026-04-19,1,0
RET-901609,CUST-10503,apparel,88.14,2026-04-28,1,0
RET-902313,CUST-12219,apparel,10.63,2026-04-13,1,0
RET-901267,CUST-11866,accessories,131.7,2026-04-05,1,0
RET-901770,CUST-11235,accessories,34.53,2026-04-30,1,0
RET-902220,CUST-10214,accessories,28.11,2026-04-01,1,0
RET-902299,CUST-12531,apparel,158.85,2026-05-09,1,0
RET-901786,CUST-12083,apparel,163.28,2026-05-09,1,0
RET-900834,CUST-10818,apparel,66.19,2026-04-30,1,0
RET-900692,CUST-12835,accessories,63.99,2026-05-10,1,0
RET-902360,CUST-12453,footwear,53.85,2026-04-17,1,0
RET-902335,CUST-10144,apparel,26.1,2026-05-07,1,0
RET-901719,CUST-12769,footwear,65.97,2026-05-08,1,0
RET-902704,CUST-12817,footwear,265.66,2026-05-04,1,0
RET-901837,CUST-12463,apparel,67.66,2026-04-07,1,0
RET-902705,CUST-10157,footwear,550.97,2026-05-01,1,0
RET-902401,CUST-10388,apparel,95.54,2026-05-09,1,0
RET-901519,CUST-11360,apparel,76.82,2026-05-04,1,0
RET-900953,CUST-10378,accessories,64.77,2026-04-07,1,0
RET-902521,CUST-13144,apparel,100.93,2026-04-15,1,0
RET-900790,CUST-10974,footwear,160.47,2026-04-23,1,0
RET-900369,CUST-11234,apparel,130.62,2026-05-06,1,0
RET-900194,CUST-10111,apparel,30.87,2026-05-10,1,0
RET-902366,CUST-11011,footwear,152.0,2026-04-24,1,0
RET-901266,CUST-12924,accessories,52.66,2026-05-06,1,0
RET-902224,CUST-12220,accessories,60.17,2026-04-02,1,0
RET-900101,CUST-10946,footwear,2.84,2026-05-05,1,0
RET-902637,CUST-11959,footwear,459.99,2026-04-12,1,0
RET-900622,CUST-11448,apparel,63.06,2026-05-03,1,0
RET-900253,CUST-13887,apparel,8.08,2026-04-30,1,0
RET-901322,CUST-10901,footwear,188.47,2026-04-24,1,0
RET-900749,CUST-10951,apparel,182.43,2026-05-06,1,0
RET-901475,CUST-13556,accessories,8.38,2026-04-25,1,0
RET-901495,CUST-11186,accessories,165.16,2026-04-21,1,0
RET-900152,CUST-10389,apparel,90.92,2026-05-12,1,0
RET-900639,CUST-10146,footwear,115.03,2026-04-28,1,0
RET-900840,CUST-13489,accessories,91.06,2026-04-27,1,0
RET-901853,CUST-13048,footwear,81.6,2026-04-25,1,0
RET-901652,CUST-13837,apparel,63.81,2026-04-07,1,0
RET-902431,CUST-10925,apparel,81.73,2026-05-01,1,0
RET-902383,CUST-13226,footwear,43.6,2026-04-26,1,0
RET-902027,CUST-12702,footwear,36.89,2026-04-12,1,0
RET-902013,CUST-10422,accessories,164.4,2026-05-01,1,0
RET-902468,CUST-11281,apparel,136.21,2026-04-21,1,0
RET-902626,CUST-12775,apparel,473.98,2026-05-02,1,0
RET-901223,CUST-11666,apparel,85.51,2026-04-22,1,0
RET-900232,CUST-13821,accessories,50.7,2026-05-03,1,0
RET-901550,CUST-12146,accessories,21.88,2026-04-10,1,0
RET-901072,CUST-10980,footwear,60.35,2026-04-12,1,0
RET-900732,CUST-13075,accessories,69.47,2026-04-27,1,0
RET-900957,CUST-12764,accessories,32.45,2026-05-11,1,0
RET-902321,CUST-13270,footwear,53.05,2026-04-08,1,0
RET-902345,CUST-11737,accessories,40.03,2026-05-06,1,0
RET-901970,CUST-13840,apparel,81.22,2026-04-27,1,0
RET-901291,CUST-12907,apparel,33.87,2026-05-06,1,0
RET-901543,CUST-12685,accessories,46.9,2026-04-13,1,0
RET-901127,CUST-11277,accessories,14.36,2026-04-03,1,0
RET-901242,CUST-13521,apparel,71.0,2026-05-09,1,0
RET-901564,CUST-11396,footwear,139.59,2026-04-03,1,0
RET-900273,CUST-12187,footwear,45.9,2026-05-01,1,0
RET-900130,CUST-10714,footwear,85.8,2026-04-22,1,0
RET-902288,CUST-12185,apparel,18.57,2026-05-02,1,0
RET-901260,CUST-12329,accessories,121.47,2026-04-02,1,0
RET-900798,CUST-13480,accessories,113.43,2026-04-28,1,0
RET-901413,CUST-10541,footwear,93.89,2026-04-14,1,0
RET-901080,CUST-11715,apparel,126.25,2026-04-04,1,0
RET-901065,CUST-11438,footwear,32.49,2026-04-01,1,0
RET-902023,CUST-11887,apparel,198.39,2026-04-05,1,0
RET-902467,CUST-11427,footwear,83.28,2026-04-29,1,0
RET-900996,CUST-11815,apparel,41.79,2026-05-05,1,0
RET-900199,CUST-10362,accessories,5.39,2026-05-05,1,0
RET-902692,CUST-13902,apparel,500.32,2026-05-08,1,0
