task_id,complexity,phase,model,iteration_loops,input_tokens,output_tokens,total_tokens,cost_usd
T-024,5,Review,frontier,0,177860,76227,254087,1.677
T-024,5,Debug,frontier,0,109543,46948,156491,1.0328
T-025,3,Spec,frontier,0,16345,7006,23351,0.1541
T-025,3,Plan,frontier,0,16508,7076,23584,0.1557
T-025,3,Implement,frontier,0,34535,14801,49336,0.3256
T-025,3,Test,frontier,0,25370,10873,36243,0.2392
T-025,3,Review,frontier,3,123676,53005,176681,1.1661
T-025,3,Debug,frontier,0,25845,11077,36922,0.2437
T-026,3,Spec,frontier,0,14043,6019,20062,0.1324
T-026,3,Plan,frontier,0,18424,7897,26321,0.1737
T-026,3,Implement,frontier,0,32367,13872,46239,0.3052
T-026,3,Test,frontier,0,21194,9084,30278,0.1998
T-026,3,Review,frontier,1,63798,27343,91141,0.6015
T-026,3,Debug,frontier,2,49466,21201,70667,0.4664
T-027,4,Spec,frontier,0,34020,14580,48600,0.3208
T-027,4,Plan,frontier,0,43377,18591,61968,0.409
T-027,4,Implement,frontier,0,90522,38796,129318,0.8535
T-027,4,Test,frontier,0,52671,22574,75245,0.4966
T-027,4,Review,frontier,0,106099,45471,151570,1.0004
T-027,4,Debug,frontier,1,83029,35585,118614,0.7829
T-028,3,Spec,frontier,0,17278,7405,24683,0.1629
T-028,3,Plan,frontier,0,19200,8229,27429,0.181
T-028,3,Implement,frontier,0,42188,18081,60269,0.3978
T-028,3,Test,frontier,0,19381,8307,27688,0.1827
T-028,3,Review,frontier,3,101147,43349,144496,0.9537
T-028,3,Debug,frontier,2,49198,21086,70284,0.4639
T-029,4,Spec,frontier,0,33406,14318,47724,0.315
T-029,4,Plan,frontier,0,40799,17486,58285,0.3847
T-029,4,Implement,frontier,0,91604,39259,130863,0.8637
T-029,4,Test,frontier,0,50062,21456,71518,0.472
T-029,4,Review,frontier,1,154516,66222,220738,1.4569
T-029,4,Debug,frontier,0,70620,30266,100886,0.6659
T-030,5,Spec,frontier,0,62493,26783,89276,0.5892
T-030,5,Plan,frontier,0,67732,29028,96760,0.6386
T-030,5,Implement,frontier,0,121308,51990,173298,1.1438
T-030,5,Test,frontier,0,70011,30005,100016,0.6601
T-030,5,Review,frontier,1,246249,105536,351785,2.3218
T-030,5,Debug,frontier,0,90354,38724,129078,0.8519
T-031,2,Spec,efficient,0,5140,2204,7344,0.004
T-031,2,Plan,frontier,0,4944,2120,7064,0.0466
T-031,2,Implement,frontier,0,11609,4976,16585,0.1095
T-031,2,Test,frontier,0,7202,3088,10290,0.0679
T-031,2,Review,frontier,0,13389,5739,19128,0.1263
T-031,2,Debug,frontier,1,12815,5493,18308,0.1208
T-032,5,Spec,frontier,0,55386,23737,79123,0.5222
T-032,5,Plan,frontier,0,77977,33419,111396,0.7352
T-032,5,Implement,frontier,0,136315,58422,194737,1.2853
T-032,5,Test,frontier,0,80171,34360,114531,0.7559
T-032,5,Review,frontier,1,267764,114757,382521,2.5246
T-032,5,Debug,frontier,1,125402,53744,179146,1.1824
T-033,4,Spec,frontier,0,29731,12742,42473,0.2803
T-033,4,Plan,frontier,0,48368,20730,69098,0.4561
T-033,4,Implement,frontier,0,88046,37735,125781,0.8302
T-033,4,Test,frontier,0,45061,19313,64374,0.4249
T-033,4,Review,frontier,2,233599,100114,333713,2.2025
T-033,4,Debug,frontier,2,127456,54625,182081,1.2017
T-034,4,Spec,frontier,0,34059,14597,48656,0.3211
T-034,4,Plan,frontier,0,44662,19141,63803,0.4211
T-034,4,Implement,frontier,0,74165,31786,105951,0.6993
T-034,4,Test,frontier,0,46036,19730,65766,0.4341
T-034,4,Review,frontier,3,242437,103903,346340,2.2859
T-034,4,Debug,frontier,1,94785,40623,135408,0.8937
T-035,5,Spec,frontier,0,48162,20642,68804,0.4541
T-035,5,Plan,frontier,0,72070,30888,102958,0.6795
T-035,5,Implement,frontier,0,151921,65109,217030,1.4324
T-035,5,Test,frontier,0,90947,38978,129925,0.8575
T-035,5,Review,frontier,0,182444,78191,260635,1.7202
T-035,5,Debug,frontier,0,116865,50086,166951,1.1019
T-036,3,Spec,frontier,0,16364,7014,23378,0.1543
T-036,3,Plan,frontier,0,18430,7899,26329,0.1738
T-036,3,Implement,frontier,0,36135,15487,51622,0.3407
T-036,3,Test,frontier,0,25475,10918,36393,0.2402
T-036,3,Review,frontier,0,46267,19829,66096,0.4362
T-036,3,Debug,frontier,2,48151,20637,68788,0.454
T-037,1,Spec,frontier,0,496,214,710,0.0047
T-037,1,Plan,frontier,0,743,319,1062,0.007
T-037,1,Implement,frontier,0,1330,571,1901,0.0126
T-037,1,Test,frontier,0,716,307,1023,0.0068
T-037,1,Review,frontier,0,1767,758,2525,0.0167
T-037,1,Debug,frontier,0,951,409,1360,0.009
T-038,2,Spec,frontier,0,4568,1959,6527,0.0431
T-038,2,Plan,efficient,0,5530,2371,7901,0.0043
T-038,2,Implement,frontier,0,10134,4344,14478,0.0956
T-038,2,Test,frontier,0,7408,3176,10584,0.0699
T-038,2,Review,frontier,1,20372,8731,29103,0.1921
T-038,2,Debug,frontier,2,15810,6776,22586,0.1491
T-039,1,Spec,frontier,0,542,233,775,0.0051
T-039,1,Plan,efficient,0,615,264,879,0.0005
T-039,1,Implement,frontier,0,1542,662,2204,0.0146
T-039,1,Test,frontier,0,921,396,1317,0.0087
T-039,1,Review,frontier,0,1688,724,2412,0.0159
T-039,1,Debug,frontier,2,1895,813,2708,0.0179
T-040,3,Spec,frontier,0,16242,6962,23204,0.1532
T-040,3,Plan,frontier,0,17851,7651,25502,0.1683
T-040,3,Implement,frontier,0,37505,16074,53579,0.3536
T-040,3,Test,frontier,0,25353,10866,36219,0.239
T-040,3,Review,frontier,1,75020,32152,107172,0.7073
T-040,3,Debug,frontier,0,31596,13542,45138,0.2979
T-041,2,Spec,frontier,0,4725,2025,6750,0.0445
T-041,2,Plan,frontier,0,5434,2330,7764,0.0513
T-041,2,Implement,frontier,0,11083,4750,15833,0.1045
T-041,2,Test,frontier,0,7648,3278,10926,0.0721
T-041,2,Review,frontier,1,22959,9840,32799,0.2165
T-041,2,Debug,frontier,1,12701,5444,18145,0.1198
T-042,5,Spec,frontier,0,48668,20858,69526,0.4589
T-042,5,Plan,frontier,0,71067,30458,101525,0.6701
T-042,5,Implement,frontier,0,145922,62539,208461,1.3759
T-042,5,Test,frontier,0,82352,35294,117646,0.7765
T-042,5,Review,frontier,2,326022,139725,465747,3.0739
T-042,5,Debug,frontier,0,91673,39289,130962,0.8644
T-043,4,Spec,frontier,0,31119,13338,44457,0.2934
T-043,4,Plan,frontier,0,46445,19906,66351,0.4379
T-043,4,Implement,frontier,0,75908,32533,108441,0.7157
T-043,4,Test,frontier,0,50790,21768,72558,0.4789
T-043,4,Review,frontier,3,218917,93822,312739,2.0641
T-043,4,Debug,frontier,1,92261,39541,131802,0.8699
T-044,2,Spec,efficient,0,4435,1902,6337,0.0035
T-044,2,Plan,frontier,0,5625,2412,8037,0.0531
T-044,2,Implement,frontier,0,10080,4321,14401,0.0951
T-044,2,Test,frontier,0,7277,3120,10397,0.0686
T-044,2,Review,frontier,1,22019,9438,31457,0.2076
T-044,2,Debug,frontier,2,13768,5901,19669,0.1298
T-045,3,Spec,frontier,0,13276,5691,18967,0.1252
T-045,3,Plan,frontier,0,21700,9300,31000,0.2046
T-045,3,Implement,frontier,0,34535,14802,49337,0.3256
T-045,3,Test,frontier,0,21821,9352,31173,0.2057
T-045,3,Review,frontier,3,97496,41784,139280,0.9192
T-045,3,Debug,frontier,1,42120,18052,60172,0.3971
T-046,3,Spec,frontier,0,17217,7379,24596,0.1623
T-046,3,Plan,frontier,0,16884,7237,24121,0.1592
T-046,3,Implement,frontier,0,42242,18105,60347,0.3983
T-046,3,Test,frontier,0,21723,9311,31034,0.2048
T-046,3,Review,frontier,3,102252,43823,146075,0.9641
T-046,3,Debug,frontier,1,32877,14091,46968,0.31
T-047,1,Spec,efficient,0,555,238,793,0.0004
T-047,1,Plan,efficient,0,686,294,980,0.0005
T-047,1,Implement,frontier,0,1294,555,1849,0.0122
T-047,1,Test,frontier,0,947,407,1354,0.0089
T-047,1,Review,frontier,2,3423,1467,4890,0.0323
T-047,1,Debug,frontier,1,1269,545,1814,0.012
T-048,4,Spec,frontier,0,33415,14321,47736,0.3151
T-048,4,Plan,frontier,0,44758,19183,63941,0.422
T-048,4,Implement,frontier,0,83808,35918,119726,0.7902
T-048,4,Test,frontier,0,54331,23286,77617,0.5123
T-048,4,Review,frontier,0,114606,49117,163723,1.0806
T-048,4,Debug,frontier,0,71680,30721,102401,0.6759
T-049,3,Spec,frontier,0,15597,6685,22282,0.1471
T-049,3,Plan,frontier,0,17300,7415,24715,0.1631
T-049,3,Implement,frontier,0,35009,15005,50014,0.3301
T-049,3,Test,frontier,0,21968,9415,31383,0.2071
T-049,3,Review,frontier,2,77220,33095,110315,0.7281
T-049,3,Debug,frontier,1,33159,14212,47371,0.3127
T-050,4,Spec,frontier,0,32860,14084,46944,0.3098
T-050,4,Plan,frontier,0,46342,19861,66203,0.4369
T-050,4,Implement,frontier,0,75850,32508,108358,0.7152
T-050,4,Test,frontier,0,55921,23967,79888,0.5273
T-050,4,Review,frontier,1,144066,61743,205809,1.3583
T-050,4,Debug,frontier,2,124366,53301,177667,1.1726
