date,store_id,region,sku_id,sku_category,units_demand,units_sold,units_on_hand_eod,stockout_flag,replenishment_lead_time_days,demand_variance_tier
2025-12-25,S01,North,SKU-1001,Footwear-Running,19,19,64,0,3,medium
2025-12-26,S01,North,SKU-1001,Footwear-Running,6,6,58,0,3,medium
2025-12-27,S01,North,SKU-1001,Footwear-Running,23,23,35,0,3,medium
2025-12-28,S01,North,SKU-1001,Footwear-Running,22,22,13,0,3,medium
2025-12-29,S01,North,SKU-1001,Footwear-Running,11,11,2,0,3,medium
2025-10-01,S01,North,SKU-1002,Footwear-Running,12,12,108,0,3,medium
2025-10-02,S01,North,SKU-1002,Footwear-Running,10,10,98,0,3,medium
2025-10-03,S01,North,SKU-1002,Footwear-Running,13,13,85,0,3,medium
2025-10-04,S01,North,SKU-1002,Footwear-Running,17,17,68,0,3,medium
2025-10-05,S01,North,SKU-1002,Footwear-Running,26,26,42,0,3,medium
2025-10-06,S01,North,SKU-1002,Footwear-Running,11,11,31,0,3,medium
2025-10-07,S01,North,SKU-1002,Footwear-Running,8,8,23,0,3,medium
2025-10-08,S01,North,SKU-1002,Footwear-Running,13,13,154,0,3,medium
2025-10-09,S01,North,SKU-1002,Footwear-Running,13,13,141,0,3,medium
2025-10-10,S01,North,SKU-1002,Footwear-Running,18,18,123,0,3,medium
2025-10-11,S01,North,SKU-1002,Footwear-Running,22,22,101,0,3,medium
2025-10-12,S01,North,SKU-1002,Footwear-Running,19,19,82,0,3,medium
2025-10-13,S01,North,SKU-1002,Footwear-Running,18,18,64,0,3,medium
2025-10-14,S01,North,SKU-1002,Footwear-Running,7,7,57,0,3,medium
2025-10-15,S01,North,SKU-1002,Footwear-Running,9,9,48,0,3,medium
2025-10-16,S01,North,SKU-1002,Footwear-Running,8,8,40,0,3,medium
2025-10-17,S01,North,SKU-1002,Footwear-Running,10,10,30,0,3,medium
2025-10-18,S01,North,SKU-1002,Footwear-Running,9,9,21,0,3,medium
2025-10-19,S01,North,SKU-1002,Footwear-Running,21,21,144,0,3,medium
2025-10-20,S01,North,SKU-1002,Footwear-Running,11,11,133,0,3,medium
2025-10-21,S01,North,SKU-1002,Footwear-Running,6,6,127,0,3,medium
2025-10-22,S01,North,SKU-1002,Footwear-Running,8,8,119,0,3,medium
2025-10-23,S01,North,SKU-1002,Footwear-Running,13,13,106,0,3,medium
2025-10-24,S01,North,SKU-1002,Footwear-Running,16,16,90,0,3,medium
2025-10-25,S01,North,SKU-1002,Footwear-Running,29,29,61,0,3,medium
2025-10-26,S01,North,SKU-1002,Footwear-Running,34,34,27,0,3,medium
2025-10-27,S01,North,SKU-1002,Footwear-Running,14,14,13,0,3,medium
2025-10-28,S01,North,SKU-1002,Footwear-Running,8,8,5,0,3,medium
2025-10-29,S01,North,SKU-1002,Footwear-Running,3,3,146,0,3,medium
2025-10-30,S01,North,SKU-1002,Footwear-Running,13,13,133,0,3,medium
2025-10-31,S01,North,SKU-1002,Footwear-Running,9,9,124,0,3,medium
2025-11-01,S01,North,SKU-1002,Footwear-Running,14,14,110,0,3,medium
2025-11-02,S01,North,SKU-1002,Footwear-Running,13,13,97,0,3,medium
2025-11-03,S01,North,SKU-1002,Footwear-Running,11,11,86,0,3,medium
2025-11-04,S01,North,SKU-1002,Footwear-Running,16,16,70,0,3,medium
2025-11-05,S01,North,SKU-1002,Footwear-Running,13,13,57,0,3,medium
2025-11-06,S01,North,SKU-1002,Footwear-Running,11,11,46,0,3,medium
2025-11-07,S01,North,SKU-1002,Footwear-Running,8,8,38,0,3,medium
2025-11-08,S01,North,SKU-1002,Footwear-Running,7,7,31,0,3,medium
2025-11-09,S01,North,SKU-1002,Footwear-Running,14,14,161,0,3,medium
2025-11-10,S01,North,SKU-1002,Footwear-Running,12,12,149,0,3,medium
2025-11-11,S01,North,SKU-1002,Footwear-Running,19,19,130,0,3,medium
2025-11-12,S01,North,SKU-1002,Footwear-Running,13,13,117,0,3,medium
2025-11-13,S01,North,SKU-1002,Footwear-Running,16,16,101,0,3,medium
2025-11-14,S01,North,SKU-1002,Footwear-Running,10,10,91,0,3,medium
2025-11-15,S01,North,SKU-1002,Footwear-Running,10,10,81,0,3,medium
2025-11-16,S01,North,SKU-1002,Footwear-Running,11,11,70,0,3,medium
2025-11-17,S01,North,SKU-1002,Footwear-Running,9,9,61,0,3,medium
2025-11-18,S01,North,SKU-1002,Footwear-Running,21,21,40,0,3,medium
2025-11-19,S01,North,SKU-1002,Footwear-Running,9,9,31,0,3,medium
2025-11-20,S01,North,SKU-1002,Footwear-Running,16,16,15,0,3,medium
2025-11-21,S01,North,SKU-1002,Footwear-Running,8,8,151,0,3,medium
2025-11-22,S01,North,SKU-1002,Footwear-Running,22,22,129,0,3,medium
2025-11-23,S01,North,SKU-1002,Footwear-Running,19,19,110,0,3,medium
2025-11-24,S01,North,SKU-1002,Footwear-Running,11,11,99,0,3,medium
2025-11-25,S01,North,SKU-1002,Footwear-Running,12,12,87,0,3,medium
2025-11-26,S01,North,SKU-1002,Footwear-Running,9,9,78,0,3,medium
2025-11-27,S01,North,SKU-1002,Footwear-Running,14,14,64,0,3,medium
2025-11-28,S01,North,SKU-1002,Footwear-Running,10,10,54,0,3,medium
2025-11-29,S01,North,SKU-1002,Footwear-Running,10,10,44,0,3,medium
2025-11-30,S01,North,SKU-1002,Footwear-Running,9,9,35,0,3,medium
2025-12-01,S01,North,SKU-1002,Footwear-Running,17,17,18,0,3,medium
2025-12-02,S01,North,SKU-1002,Footwear-Running,24,24,138,0,3,medium
2025-12-03,S01,North,SKU-1002,Footwear-Running,16,16,122,0,3,medium
2025-12-04,S01,North,SKU-1002,Footwear-Running,15,15,107,0,3,medium
2025-12-05,S01,North,SKU-1002,Footwear-Running,17,17,90,0,3,medium
2025-12-06,S01,North,SKU-1002,Footwear-Running,32,32,58,0,3,medium
2025-12-07,S01,North,SKU-1002,Footwear-Running,24,24,34,0,3,medium
2025-12-08,S01,North,SKU-1002,Footwear-Running,13,13,21,0,3,medium
2025-12-09,S01,North,SKU-1002,Footwear-Running,22,21,0,1,3,medium
2025-12-10,S01,North,SKU-1002,Footwear-Running,18,18,126,0,3,medium
2025-12-11,S01,North,SKU-1002,Footwear-Running,24,24,102,0,3,medium
2025-12-12,S01,North,SKU-1002,Footwear-Running,17,17,85,0,3,medium
2025-12-13,S01,North,SKU-1002,Footwear-Running,12,12,73,0,3,medium
2025-12-14,S01,North,SKU-1002,Footwear-Running,11,11,62,0,3,medium
2025-12-15,S01,North,SKU-1002,Footwear-Running,25,25,37,0,3,medium
2025-12-16,S01,North,SKU-1002,Footwear-Running,25,25,12,0,3,medium
2025-12-17,S01,North,SKU-1002,Footwear-Running,15,12,0,1,3,medium
2025-12-18,S01,North,SKU-1002,Footwear-Running,14,14,130,0,3,medium
2025-12-19,S01,North,SKU-1002,Footwear-Running,24,24,106,0,3,medium
2025-12-20,S01,North,SKU-1002,Footwear-Running,13,13,93,0,3,medium
2025-12-21,S01,North,SKU-1002,Footwear-Running,15,15,78,0,3,medium
2025-12-22,S01,North,SKU-1002,Footwear-Running,19,19,59,0,3,medium
2025-12-23,S01,North,SKU-1002,Footwear-Running,13,13,46,0,3,medium
2025-12-24,S01,North,SKU-1002,Footwear-Running,16,16,30,0,3,medium
2025-12-25,S01,North,SKU-1002,Footwear-Running,15,15,15,0,3,medium
2025-12-26,S01,North,SKU-1002,Footwear-Running,17,17,142,0,3,medium
2025-12-27,S01,North,SKU-1002,Footwear-Running,33,33,109,0,3,medium
2025-12-28,S01,North,SKU-1002,Footwear-Running,23,23,86,0,3,medium
2025-12-29,S01,North,SKU-1002,Footwear-Running,19,19,67,0,3,medium
2025-10-01,S01,North,SKU-1003,Footwear-Casual,5,5,155,0,3,medium
2025-10-02,S01,North,SKU-1003,Footwear-Casual,16,16,139,0,3,medium
2025-10-03,S01,North,SKU-1003,Footwear-Casual,11,11,128,0,3,medium
2025-10-04,S01,North,SKU-1003,Footwear-Casual,13,13,115,0,3,medium
2025-10-05,S01,North,SKU-1003,Footwear-Casual,16,16,99,0,3,medium
2025-10-06,S01,North,SKU-1003,Footwear-Casual,14,14,85,0,3,medium
2025-10-07,S01,North,SKU-1003,Footwear-Casual,21,21,64,0,3,medium
2025-10-08,S01,North,SKU-1003,Footwear-Casual,9,9,55,0,3,medium
2025-10-09,S01,North,SKU-1003,Footwear-Casual,16,16,39,0,3,medium
2025-10-10,S01,North,SKU-1003,Footwear-Casual,13,13,26,0,3,medium
2025-10-11,S01,North,SKU-1003,Footwear-Casual,20,20,198,0,3,medium
2025-10-12,S01,North,SKU-1003,Footwear-Casual,30,30,168,0,3,medium
2025-10-13,S01,North,SKU-1003,Footwear-Casual,19,19,149,0,3,medium
2025-10-14,S01,North,SKU-1003,Footwear-Casual,23,23,126,0,3,medium
2025-10-15,S01,North,SKU-1003,Footwear-Casual,15,15,111,0,3,medium
2025-10-16,S01,North,SKU-1003,Footwear-Casual,12,12,99,0,3,medium
2025-10-17,S01,North,SKU-1003,Footwear-Casual,15,15,84,0,3,medium
2025-10-18,S01,North,SKU-1003,Footwear-Casual,24,24,60,0,3,medium
2025-10-19,S01,North,SKU-1003,Footwear-Casual,24,24,36,0,3,medium
2025-10-20,S01,North,SKU-1003,Footwear-Casual,10,10,26,0,3,medium
2025-10-21,S01,North,SKU-1003,Footwear-Casual,17,17,201,0,3,medium
2025-10-22,S01,North,SKU-1003,Footwear-Casual,17,17,184,0,3,medium
2025-10-23,S01,North,SKU-1003,Footwear-Casual,30,30,154,0,3,medium
2025-10-24,S01,North,SKU-1003,Footwear-Casual,27,27,127,0,3,medium
2025-10-25,S01,North,SKU-1003,Footwear-Casual,16,16,111,0,3,medium
2025-10-26,S01,North,SKU-1003,Footwear-Casual,20,20,91,0,3,medium
2025-10-27,S01,North,SKU-1003,Footwear-Casual,8,8,83,0,3,medium
2025-10-28,S01,North,SKU-1003,Footwear-Casual,13,13,70,0,3,medium
2025-10-29,S01,North,SKU-1003,Footwear-Casual,18,18,52,0,3,medium
2025-10-30,S01,North,SKU-1003,Footwear-Casual,23,23,29,0,3,medium
2025-10-31,S01,North,SKU-1003,Footwear-Casual,12,12,17,0,3,medium
2025-11-01,S01,North,SKU-1003,Footwear-Casual,17,17,192,0,3,medium
2025-11-02,S01,North,SKU-1003,Footwear-Casual,6,6,186,0,3,medium
2025-11-03,S01,North,SKU-1003,Footwear-Casual,15,15,171,0,3,medium
2025-11-04,S01,North,SKU-1003,Footwear-Casual,10,10,161,0,3,medium
2025-11-05,S01,North,SKU-1003,Footwear-Casual,13,13,148,0,3,medium
2025-11-06,S01,North,SKU-1003,Footwear-Casual,11,11,137,0,3,medium
2025-11-07,S01,North,SKU-1003,Footwear-Casual,15,15,122,0,3,medium
2025-11-08,S01,North,SKU-1003,Footwear-Casual,9,9,113,0,3,medium
2025-11-09,S01,North,SKU-1003,Footwear-Casual,11,11,102,0,3,medium
2025-11-10,S01,North,SKU-1003,Footwear-Casual,28,28,74,0,3,medium
2025-11-11,S01,North,SKU-1003,Footwear-Casual,9,9,65,0,3,medium
2025-11-12,S01,North,SKU-1003,Footwear-Casual,10,10,55,0,3,medium
2025-11-13,S01,North,SKU-1003,Footwear-Casual,26,26,29,0,3,medium
2025-11-14,S01,North,SKU-1003,Footwear-Casual,32,29,0,1,3,medium
2025-11-15,S01,North,SKU-1003,Footwear-Casual,13,13,179,0,3,medium
2025-11-16,S01,North,SKU-1003,Footwear-Casual,20,20,159,0,3,medium
2025-11-17,S01,North,SKU-1003,Footwear-Casual,18,18,141,0,3,medium
2025-11-18,S01,North,SKU-1003,Footwear-Casual,26,26,115,0,3,medium
2025-11-19,S01,North,SKU-1003,Footwear-Casual,10,10,105,0,3,medium
2025-11-20,S01,North,SKU-1003,Footwear-Casual,15,15,90,0,3,medium
2025-11-21,S01,North,SKU-1003,Footwear-Casual,20,20,70,0,3,medium
2025-11-22,S01,North,SKU-1003,Footwear-Casual,26,26,44,0,3,medium
2025-11-23,S01,North,SKU-1003,Footwear-Casual,19,19,25,0,3,medium
2025-11-24,S01,North,SKU-1003,Footwear-Casual,15,15,10,0,3,medium
2025-11-25,S01,North,SKU-1003,Footwear-Casual,8,8,194,0,3,medium
2025-11-26,S01,North,SKU-1003,Footwear-Casual,15,15,179,0,3,medium
2025-11-27,S01,North,SKU-1003,Footwear-Casual,15,15,164,0,3,medium
2025-11-28,S01,North,SKU-1003,Footwear-Casual,17,17,147,0,3,medium
2025-11-29,S01,North,SKU-1003,Footwear-Casual,18,18,129,0,3,medium
2025-11-30,S01,North,SKU-1003,Footwear-Casual,26,26,103,0,3,medium
2025-12-01,S01,North,SKU-1003,Footwear-Casual,28,28,75,0,3,medium
2025-12-02,S01,North,SKU-1003,Footwear-Casual,22,22,53,0,3,medium
2025-12-03,S01,North,SKU-1003,Footwear-Casual,23,23,30,0,3,medium
2025-12-04,S01,North,SKU-1003,Footwear-Casual,21,21,9,0,3,medium
2025-12-05,S01,North,SKU-1003,Footwear-Casual,21,21,180,0,3,medium
2025-12-06,S01,North,SKU-1003,Footwear-Casual,22,22,158,0,3,medium
2025-12-07,S01,North,SKU-1003,Footwear-Casual,32,32,126,0,3,medium
2025-12-08,S01,North,SKU-1003,Footwear-Casual,20,20,106,0,3,medium
2025-12-09,S01,North,SKU-1003,Footwear-Casual,36,36,70,0,3,medium
2025-12-10,S01,North,SKU-1003,Footwear-Casual,32,32,38,0,3,medium
2025-12-11,S01,North,SKU-1003,Footwear-Casual,24,24,14,0,3,medium
2025-12-12,S01,North,SKU-1003,Footwear-Casual,15,14,0,1,3,medium
2025-12-13,S01,North,SKU-1003,Footwear-Casual,18,18,174,0,3,medium
2025-12-14,S01,North,SKU-1003,Footwear-Casual,41,41,133,0,3,medium
2025-12-15,S01,North,SKU-1003,Footwear-Casual,23,23,110,0,3,medium
2025-12-16,S01,North,SKU-1003,Footwear-Casual,24,24,86,0,3,medium
2025-12-17,S01,North,SKU-1003,Footwear-Casual,8,8,78,0,3,medium
2025-12-18,S01,North,SKU-1003,Footwear-Casual,28,28,50,0,3,medium
2025-12-19,S01,North,SKU-1003,Footwear-Casual,24,24,26,0,3,medium
2025-12-20,S01,North,SKU-1003,Footwear-Casual,18,18,8,0,3,medium
2025-12-21,S01,North,SKU-1003,Footwear-Casual,24,24,176,0,3,medium
2025-12-22,S01,North,SKU-1003,Footwear-Casual,23,23,153,0,3,medium
2025-12-23,S01,North,SKU-1003,Footwear-Casual,21,21,132,0,3,medium
2025-12-24,S01,North,SKU-1003,Footwear-Casual,19,19,113,0,3,medium
2025-12-25,S01,North,SKU-1003,Footwear-Casual,20,20,93,0,3,medium
2025-12-26,S01,North,SKU-1003,Footwear-Casual,19,19,74,0,3,medium
2025-12-27,S01,North,SKU-1003,Footwear-Casual,31,31,43,0,3,medium
2025-12-28,S01,North,SKU-1003,Footwear-Casual,44,43,0,1,3,medium
2025-12-29,S01,North,SKU-1003,Footwear-Casual,2,0,0,1,3,medium
2025-10-01,S01,North,SKU-1004,Footwear-Casual,16,16,134,0,3,medium
2025-10-02,S01,North,SKU-1004,Footwear-Casual,17,17,117,0,3,medium
2025-10-03,S01,North,SKU-1004,Footwear-Casual,13,13,104,0,3,medium
2025-10-04,S01,North,SKU-1004,Footwear-Casual,8,8,96,0,3,medium
2025-10-05,S01,North,SKU-1004,Footwear-Casual,23,23,73,0,3,medium
2025-10-06,S01,North,SKU-1004,Footwear-Casual,24,24,49,0,3,medium
2025-10-07,S01,North,SKU-1004,Footwear-Casual,7,7,42,0,3,medium
2025-10-08,S01,North,SKU-1004,Footwear-Casual,20,20,22,0,3,medium
2025-10-09,S01,North,SKU-1004,Footwear-Casual,13,13,189,0,3,medium
2025-10-10,S01,North,SKU-1004,Footwear-Casual,15,15,174,0,3,medium
2025-10-11,S01,North,SKU-1004,Footwear-Casual,13,13,161,0,3,medium
2025-10-12,S01,North,SKU-1004,Footwear-Casual,19,19,142,0,3,medium
2025-10-13,S01,North,SKU-1004,Footwear-Casual,22,22,120,0,3,medium
2025-10-14,S01,North,SKU-1004,Footwear-Casual,18,18,102,0,3,medium
2025-10-15,S01,North,SKU-1004,Footwear-Casual,24,24,78,0,3,medium
2025-10-16,S01,North,SKU-1004,Footwear-Casual,21,21,57,0,3,medium
2025-10-17,S01,North,SKU-1004,Footwear-Casual,17,17,40,0,3,medium
2025-10-18,S01,North,SKU-1004,Footwear-Casual,34,34,6,0,3,medium
2025-10-19,S01,North,SKU-1004,Footwear-Casual,24,24,162,0,3,medium
2025-10-20,S01,North,SKU-1004,Footwear-Casual,19,19,143,0,3,medium
2025-10-21,S01,North,SKU-1004,Footwear-Casual,13,13,130,0,3,medium
2025-10-22,S01,North,SKU-1004,Footwear-Casual,15,15,115,0,3,medium
2025-10-23,S01,North,SKU-1004,Footwear-Casual,11,11,104,0,3,medium
2025-10-24,S01,North,SKU-1004,Footwear-Casual,20,20,84,0,3,medium
2025-10-25,S01,North,SKU-1004,Footwear-Casual,12,12,72,0,3,medium
2025-10-26,S01,North,SKU-1004,Footwear-Casual,27,27,45,0,3,medium
2025-10-27,S01,North,SKU-1004,Footwear-Casual,14,14,31,0,3,medium
2025-10-28,S01,North,SKU-1004,Footwear-Casual,21,21,10,0,3,medium
2025-10-29,S01,North,SKU-1004,Footwear-Casual,19,19,171,0,3,medium
2025-10-30,S01,North,SKU-1004,Footwear-Casual,25,25,146,0,3,medium
2025-10-31,S01,North,SKU-1004,Footwear-Casual,19,19,127,0,3,medium
2025-11-01,S01,North,SKU-1004,Footwear-Casual,9,9,118,0,3,medium
2025-11-02,S01,North,SKU-1004,Footwear-Casual,21,21,97,0,3,medium
2025-11-03,S01,North,SKU-1004,Footwear-Casual,9,9,88,0,3,medium
2025-11-04,S01,North,SKU-1004,Footwear-Casual,12,12,76,0,3,medium
2025-11-05,S01,North,SKU-1004,Footwear-Casual,23,23,53,0,3,medium
2025-11-06,S01,North,SKU-1004,Footwear-Casual,18,18,35,0,3,medium
2025-11-07,S01,North,SKU-1004,Footwear-Casual,11,11,24,0,3,medium
2025-11-08,S01,North,SKU-1004,Footwear-Casual,14,14,190,0,3,medium
2025-11-09,S01,North,SKU-1004,Footwear-Casual,21,21,169,0,3,medium
2025-11-10,S01,North,SKU-1004,Footwear-Casual,9,9,160,0,3,medium
2025-11-11,S01,North,SKU-1004,Footwear-Casual,11,11,149,0,3,medium
2025-11-12,S01,North,SKU-1004,Footwear-Casual,17,17,132,0,3,medium
2025-11-13,S01,North,SKU-1004,Footwear-Casual,21,21,111,0,3,medium
2025-11-14,S01,North,SKU-1004,Footwear-Casual,18,18,93,0,3,medium
2025-11-15,S01,North,SKU-1004,Footwear-Casual,4,4,89,0,3,medium
2025-11-16,S01,North,SKU-1004,Footwear-Casual,23,23,66,0,3,medium
2025-11-17,S01,North,SKU-1004,Footwear-Casual,15,15,51,0,3,medium
2025-11-18,S01,North,SKU-1004,Footwear-Casual,17,17,34,0,3,medium
2025-11-19,S01,North,SKU-1004,Footwear-Casual,23,23,11,0,3,medium
2025-11-20,S01,North,SKU-1004,Footwear-Casual,4,4,187,0,3,medium
2025-11-21,S01,North,SKU-1004,Footwear-Casual,12,12,175,0,3,medium
2025-11-22,S01,North,SKU-1004,Footwear-Casual,25,25,150,0,3,medium
2025-11-23,S01,North,SKU-1004,Footwear-Casual,9,9,141,0,3,medium
2025-11-24,S01,North,SKU-1004,Footwear-Casual,23,23,118,0,3,medium
2025-11-25,S01,North,SKU-1004,Footwear-Casual,17,17,101,0,3,medium
2025-11-26,S01,North,SKU-1004,Footwear-Casual,19,19,82,0,3,medium
2025-11-27,S01,North,SKU-1004,Footwear-Casual,12,12,70,0,3,medium
2025-11-28,S01,North,SKU-1004,Footwear-Casual,19,19,51,0,3,medium
2025-11-29,S01,North,SKU-1004,Footwear-Casual,29,29,22,0,3,medium
2025-11-30,S01,North,SKU-1004,Footwear-Casual,23,22,0,1,3,medium
2025-12-01,S01,North,SKU-1004,Footwear-Casual,21,21,159,0,3,medium
2025-12-02,S01,North,SKU-1004,Footwear-Casual,21,21,138,0,3,medium
2025-12-03,S01,North,SKU-1004,Footwear-Casual,14,14,124,0,3,medium
2025-12-04,S01,North,SKU-1004,Footwear-Casual,18,18,106,0,3,medium
2025-12-05,S01,North,SKU-1004,Footwear-Casual,18,18,88,0,3,medium
2025-12-06,S01,North,SKU-1004,Footwear-Casual,31,31,57,0,3,medium
2025-12-07,S01,North,SKU-1004,Footwear-Casual,37,37,20,0,3,medium
2025-12-08,S01,North,SKU-1004,Footwear-Casual,12,12,8,0,3,medium
2025-12-09,S01,North,SKU-1004,Footwear-Casual,19,19,169,0,3,medium
2025-12-10,S01,North,SKU-1004,Footwear-Casual,30,30,139,0,3,medium
2025-12-11,S01,North,SKU-1004,Footwear-Casual,14,14,125,0,3,medium
